City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Itarema,-2.92,-39.92,78.06,77,6,10.13,BR,06/21/20
Dikson,73.51,80.55,44.26,76,72,10.89,RU,06/21/20
Coleraine,55.13,-6.67,51.8,81,27,5.82,GB,06/21/20
Yulara,-25.24,130.99,51.8,57,0,13.87,AU,06/21/20
Iqaluit,63.75,-68.51,39.2,80,75,6.93,CA,06/21/20
Ambilobe,-13.2,49.05,71.29,86,1,3.38,MG,06/21/20
Bima,-8.47,118.72,78.08,77,12,3.67,ID,06/21/20
Port Elizabeth,-33.92,25.57,50.0,93,6,4.7,ZA,06/21/20
Fort Saint James,54.43,-124.25,68.74,28,29,9.28,CA,06/21/20
Kamaishi,39.27,141.88,68.0,82,75,1.12,JP,06/21/20
Kruisfontein,-34.0,24.73,52.47,85,2,4.9,ZA,06/21/20
Gayny,60.31,54.32,42.42,88,73,6.49,RU,06/21/20
Salalah,17.02,54.09,82.4,88,75,3.36,OM,06/21/20
Diffa,13.32,12.61,82.65,53,12,16.6,NE,06/21/20
Batesville,35.77,-91.64,84.2,70,1,4.7,US,06/21/20
New Norfolk,-42.78,147.06,53.01,92,100,2.8,AU,06/21/20
Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,06/21/20
Tuktoyaktuk,69.45,-133.04,51.8,66,40,12.75,CA,06/21/20
Hilo,19.73,-155.09,80.6,61,75,10.29,US,06/21/20
Cape Town,-33.93,18.42,55.0,93,20,9.17,ZA,06/21/20
Qaanaaq,77.48,-69.36,38.82,73,32,4.32,GL,06/21/20
Voh,-20.97,164.7,78.03,54,17,2.37,NC,06/21/20
Mahébourg,-20.41,57.7,69.8,83,40,9.17,MU,06/21/20
Vaini,-21.2,-175.2,80.6,88,40,10.29,TO,06/21/20
Salym,60.06,71.48,42.93,90,59,6.82,RU,06/21/20
Coquimbo,-29.95,-71.34,55.4,93,20,4.7,CL,06/21/20
Collie,-33.37,116.15,57.0,55,33,9.08,AU,06/21/20
Teahupoo,-17.83,-149.27,84.2,62,75,5.82,PF,06/21/20
Leningradskiy,69.38,178.42,57.49,53,22,4.99,RU,06/21/20
Dingle,11.0,122.67,83.48,78,99,4.81,PH,06/21/20
Kavieng,-2.57,150.8,84.7,70,28,4.05,PG,06/21/20
Sharlyk,52.92,54.75,45.63,76,0,13.24,RU,06/21/20
Panjāb,34.39,67.02,52.63,37,0,1.66,AF,06/21/20
Emba,48.83,58.14,64.24,65,0,8.63,KZ,06/21/20
Bambous Virieux,-20.34,57.76,70.0,83,40,9.17,MU,06/21/20
Abu Samrah,35.3,37.18,70.74,43,0,5.44,SY,06/21/20
Sulangan,11.14,123.72,83.91,76,75,9.28,PH,06/21/20
Kindu,-2.95,25.95,70.74,72,10,1.07,CD,06/21/20
Carnarvon,-24.87,113.63,59.0,77,0,6.93,AU,06/21/20
Labuhan,-6.88,112.21,77.74,87,98,7.72,ID,06/21/20
Albany,42.6,-73.97,84.99,55,41,4.32,US,06/21/20
Cockburn Town,21.46,-71.14,84.2,74,40,9.17,TC,06/21/20
Mossamedes,-15.2,12.15,68.13,62,0,0.74,AO,06/21/20
East London,-33.02,27.91,62.2,65,13,9.22,ZA,06/21/20
Ilulissat,69.22,-51.1,48.2,45,39,3.36,GL,06/21/20
Korla,41.76,86.15,71.01,87,0,7.67,CN,06/21/20
Kununurra,-15.77,128.73,75.2,30,0,10.29,AU,06/21/20
Inhambane,-23.86,35.38,64.4,75,0,3.74,MZ,06/21/20
Bonavista,48.65,-53.11,52.09,71,98,19.08,CA,06/21/20
Port Hardy,50.7,-127.42,59.0,77,75,5.82,CA,06/21/20
Hasaki,35.73,140.83,68.0,94,75,11.41,JP,06/21/20
Ahipara,-35.17,173.17,63.52,76,40,8.86,NZ,06/21/20
Yellowknife,62.46,-114.35,80.01,38,20,16.11,CA,06/21/20
Torbay,47.67,-52.73,52.0,53,90,17.22,CA,06/21/20
Chui,-33.7,-53.46,59.22,94,82,5.68,UY,06/21/20
Xai-Xai,-25.05,33.64,61.81,86,0,0.43,MZ,06/21/20
Souillac,-20.52,57.52,69.8,83,40,9.17,MU,06/21/20
Tiksi,71.69,128.87,41.76,80,8,13.13,RU,06/21/20
Calvinia,-31.47,19.78,48.02,61,0,4.45,ZA,06/21/20
Pogar,52.55,33.26,63.91,96,100,12.08,RU,06/21/20
Nelson Bay,-32.72,152.15,57.99,62,20,16.11,AU,06/21/20
Fort Morgan,40.25,-103.8,77.0,25,40,25.28,US,06/21/20
Senno,59.53,33.92,48.16,74,0,5.08,RU,06/21/20
Deputatsky,69.3,139.9,83.19,22,1,4.07,RU,06/21/20
Lodja,-3.48,23.43,72.19,60,3,1.07,CD,06/21/20
Mar del Plata,-38.0,-57.56,52.0,87,20,9.19,AR,06/21/20
Padang,-0.95,100.35,77.97,78,96,5.88,ID,06/21/20
Saint George,37.1,-113.58,100.99,8,1,16.11,US,06/21/20
Powell River,49.85,-124.54,68.0,60,20,11.41,CA,06/21/20
Provideniya,64.38,-173.3,59.0,54,7,13.42,RU,06/21/20
Belyy Yar,53.6,91.39,53.6,71,75,4.47,RU,06/21/20
Port Lincoln,-34.73,135.87,56.75,70,23,15.35,AU,06/21/20
Biu,10.61,12.19,74.77,63,100,6.08,NG,06/21/20
Māngrol,21.12,70.12,84.36,79,94,15.68,IN,06/21/20
Almaznyy,48.04,40.05,68.0,88,20,6.71,RU,06/21/20
Vila Franca do Campo,37.72,-25.43,64.4,88,75,5.26,PT,06/21/20
Tīkri,29.23,77.35,86.27,50,0,9.89,IN,06/21/20
Boksitogorsk,59.47,33.85,48.36,74,0,5.03,RU,06/21/20
Tiquisate,14.28,-91.37,86.0,79,75,3.65,GT,06/21/20
Sechura,-5.56,-80.82,68.32,74,3,15.59,PE,06/21/20
Lazi,48.07,24.23,58.87,85,100,2.71,UA,06/21/20
Puerto Madryn,-42.77,-65.04,51.62,45,57,10.29,AR,06/21/20
Aksu,41.12,80.26,70.56,23,0,2.53,CN,06/21/20
Isangel,-19.55,169.27,78.8,74,40,11.41,VU,06/21/20
Portobelo,9.55,-79.65,82.99,83,90,3.0,PA,06/21/20
Avarua,-21.21,-159.78,77.0,57,99,19.46,CK,06/21/20
Lundazi,-12.29,33.18,53.24,68,0,5.23,ZM,06/21/20
Barrow,71.29,-156.79,37.4,86,90,14.99,US,06/21/20
Hermanus,-34.42,19.23,55.99,91,62,1.99,ZA,06/21/20
Willowmore,-33.29,23.49,46.74,80,0,4.85,ZA,06/21/20
Mnogovershinnyy,53.94,139.92,44.96,84,100,4.0,RU,06/21/20
Port Alfred,-33.59,26.89,57.99,94,17,1.99,ZA,06/21/20
Faanui,-16.48,-151.75,77.67,83,93,22.75,PF,06/21/20
Khatanga,71.97,102.5,64.78,51,77,10.18,RU,06/21/20
Sorochinsk,52.43,53.16,48.02,79,40,9.42,RU,06/21/20
Punta Arenas,-53.15,-70.92,35.6,85,75,2.24,CL,06/21/20
Tessalit,20.2,1.01,93.29,10,0,11.77,ML,06/21/20
Porto Nacional,-10.71,-48.42,75.2,69,13,6.93,BR,06/21/20
Castro,-24.79,-50.01,57.99,83,0,2.93,BR,06/21/20
Utica,43.1,-75.23,86.0,42,1,4.7,US,06/21/20
Marsh Harbour,26.54,-77.06,82.0,77,100,8.03,BS,06/21/20
Yangi Marg`ilon,40.43,71.72,71.6,35,34,6.93,UZ,06/21/20
Roald,62.58,6.13,57.99,93,100,8.05,NO,06/21/20
Severo-Kuril'sk,50.68,156.12,49.23,78,88,3.8,RU,06/21/20
Hambantota,6.12,81.12,81.9,75,100,18.45,LK,06/21/20
Constitución,-35.33,-72.42,50.92,76,70,1.95,CL,06/21/20
Bredasdorp,-34.53,20.04,51.8,93,73,4.38,ZA,06/21/20
Shenjiamen,29.96,122.3,72.93,98,100,11.21,CN,06/21/20
Katherine,-14.47,132.27,73.4,31,0,18.34,AU,06/21/20
Srednekolymsk,67.45,153.68,88.05,22,0,10.07,RU,06/21/20
Sumenep,-7.02,113.87,81.09,80,66,12.26,ID,06/21/20
Sabae,35.95,136.19,73.4,73,75,4.7,JP,06/21/20
Rawson,-43.3,-65.1,50.02,49,74,6.82,AR,06/21/20
Guerrero Negro,27.98,-114.06,69.37,63,0,19.8,MX,06/21/20
Fortuna,40.6,-124.16,63.0,87,75,11.41,US,06/21/20
Nanortalik,60.14,-45.24,45.39,71,100,8.99,GL,06/21/20
Airai,-8.93,125.41,63.16,75,79,4.74,TL,06/21/20
Mount Isa,-20.73,139.5,60.8,36,0,14.99,AU,06/21/20
Dunda,-8.12,34.25,56.66,73,10,3.36,TZ,06/21/20
Zonguldak,41.25,31.83,60.53,84,94,2.35,TR,06/21/20
Katsuura,35.13,140.3,70.0,94,75,13.87,JP,06/21/20
Aklavik,68.22,-135.01,59.0,54,75,9.17,CA,06/21/20
Jalu,29.03,21.55,70.77,69,0,11.41,LY,06/21/20
Pimentel,-6.84,-79.93,64.83,84,33,14.36,PE,06/21/20
Sijunjung,-0.69,100.95,72.25,90,86,1.66,ID,06/21/20
Pisco,-13.7,-76.22,64.4,77,90,10.29,PE,06/21/20
Kaitangata,-46.28,169.85,39.99,73,0,8.01,NZ,06/21/20
Blythe,33.61,-114.6,108.0,6,20,9.17,US,06/21/20
Troitsko-Pechorsk,62.71,56.2,44.89,71,86,6.67,RU,06/21/20
Bundaberg,-24.85,152.35,68.0,49,59,10.29,AU,06/21/20
Namatanai,-3.67,152.43,85.35,68,8,4.27,PG,06/21/20
Kieta,-6.22,155.63,85.57,64,13,3.38,PG,06/21/20
Ialibu,-6.28,143.99,65.03,84,64,3.62,PG,06/21/20
Horsham,51.06,-0.33,54.0,76,20,4.7,GB,06/21/20
Lata,40.16,-8.33,63.0,91,15,3.33,PT,06/21/20
Bosaso,11.28,49.18,90.54,50,86,2.71,SO,06/21/20
Tezu,27.92,96.17,77.56,85,83,1.23,IN,06/21/20
Mâncio Lima,-7.61,-72.9,73.98,94,61,1.86,BR,06/21/20
San Cristobal,7.77,-72.22,75.2,88,75,4.7,VE,06/21/20
Nome,64.5,-165.41,57.2,71,40,8.05,US,06/21/20
Tshikapa,-6.42,20.8,66.02,35,0,2.24,CD,06/21/20
Kuching,1.55,110.33,77.0,100,40,3.36,MY,06/21/20
Kosh-Agach,50.0,88.67,37.4,76,100,8.28,RU,06/21/20
Shenzhen,22.55,114.07,89.01,84,20,13.42,CN,06/21/20
Atikokan,48.76,-91.62,69.42,43,59,9.35,CA,06/21/20
Kahului,20.89,-156.47,89.6,40,20,17.22,US,06/21/20
Lompoc,34.64,-120.46,64.99,72,10,13.87,US,06/21/20
Tuatapere,-46.13,167.68,39.0,83,0,3.0,NZ,06/21/20
Moses Lake,47.13,-119.28,84.2,25,1,10.29,US,06/21/20
Alofi,-19.06,-169.92,82.4,69,50,13.87,NU,06/21/20
Delcevo,41.97,22.77,51.98,84,23,1.72,MK,06/21/20
Port Moresby,-9.44,147.18,82.4,83,40,11.41,PG,06/21/20
Kumluca,36.37,30.29,72.68,50,0,4.7,TR,06/21/20
Ribeira Grande,38.52,-28.7,66.07,89,3,13.49,PT,06/21/20
Badiraguato,25.37,-107.52,93.0,49,5,12.75,MX,06/21/20
Kargil,34.57,76.1,50.0,55,3,3.33,IN,06/21/20
Virginia Beach,36.85,-75.98,77.0,78,20,6.93,US,06/21/20
Verkhnevilyuysk,63.45,120.32,73.33,48,84,8.59,RU,06/21/20
Palora,-1.7,-77.93,71.6,94,75,2.24,EC,06/21/20
Sinegorskiy,48.01,40.84,65.48,92,83,10.58,RU,06/21/20
Horodnytsya,50.81,27.32,64.09,96,64,7.56,UA,06/21/20
Kirakira,-10.45,161.92,84.6,72,92,7.45,SB,06/21/20
Bereda,43.27,-7.54,57.99,100,44,1.99,ES,06/21/20
Biltine,14.53,20.92,80.46,35,0,8.52,TD,06/21/20
Manakara,-22.13,48.02,64.71,93,28,3.27,MG,06/21/20
Zabid,14.2,43.32,85.66,64,32,6.62,YE,06/21/20
Codrington,-38.27,141.97,52.2,80,61,4.65,AU,06/21/20
Adeje,28.12,-16.73,69.8,77,1,10.29,ES,06/21/20
Nikolskoye,59.7,30.79,57.2,71,0,4.47,RU,06/21/20
Arrondissement de Vichy,46.25,3.58,64.4,77,90,2.24,FR,06/21/20
Hōfu,34.05,131.57,73.4,78,20,3.36,JP,06/21/20
Inongo,-1.95,18.27,72.93,69,95,4.18,CD,06/21/20
Gobabis,-22.45,18.97,44.6,56,1,1.12,NA,06/21/20
Kungurtug,50.6,97.52,50.85,77,87,1.5,RU,06/21/20
Saint Paul Harbor,57.79,-152.41,53.6,81,90,13.87,US,06/21/20
Pijijiapan,15.7,-93.23,83.62,77,44,3.02,MX,06/21/20
Hornepayne,49.21,-84.77,70.32,50,21,9.57,CA,06/21/20
Oktyabr'skiy,54.48,53.47,41.49,87,0,4.07,RU,06/21/20
Laguna,38.42,-121.42,96.01,28,1,11.41,US,06/21/20
Poum,-20.23,164.02,73.08,70,29,6.98,NC,06/21/20
Sturgis,41.8,-85.42,73.4,83,1,8.05,US,06/21/20
Sarangani,5.4,125.46,83.71,70,94,4.07,PH,06/21/20
Saint-Philippe,-21.36,55.77,68.0,68,42,8.05,RE,06/21/20
Hirado,33.36,129.55,75.2,73,20,2.24,JP,06/21/20
Bolekhiv,49.07,23.86,64.0,84,84,5.1,UA,06/21/20
Primo Tapia,32.22,-116.92,72.0,68,1,8.05,MX,06/21/20
Ţahţā,26.77,31.5,80.94,19,0,1.79,EG,06/21/20
Hithadhoo,-0.6,73.08,83.59,69,49,5.12,MV,06/21/20
Palauig,15.44,119.9,85.3,69,78,3.33,PH,06/21/20
Adrar,20.5,-10.07,99.12,11,47,16.69,MR,06/21/20
Guarapari,-20.67,-40.5,71.01,88,0,3.36,BR,06/21/20
Najrān,17.49,44.13,78.8,19,93,2.24,SA,06/21/20
Usinsk,65.99,57.53,37.89,80,86,14.03,RU,06/21/20
Unity,52.45,-109.17,66.0,53,22,1.99,CA,06/21/20
Fribourg,46.8,7.15,60.01,87,40,1.12,CH,06/21/20
Luganville,-15.53,167.17,80.6,94,40,4.7,VU,06/21/20
Palm Coast,29.59,-81.21,84.99,70,1,6.93,US,06/21/20
Sungai Penuh,-2.08,101.38,64.83,93,80,1.28,ID,06/21/20
Broken Hill,-31.95,141.43,51.8,76,90,20.8,AU,06/21/20
Mackay,-21.15,149.2,73.4,64,0,6.93,AU,06/21/20
Upernavik,72.79,-56.15,41.4,67,100,5.95,GL,06/21/20
Paamiut,61.99,-49.67,41.68,83,77,16.04,GL,06/21/20
Tromsø,69.65,18.96,51.8,57,32,3.36,NO,06/21/20
Sinnamary,5.38,-52.95,78.4,85,7,8.7,GF,06/21/20
Sorong,-0.88,131.25,80.87,81,84,10.98,ID,06/21/20
Kashgar,39.45,75.98,69.8,11,0,11.18,CN,06/21/20
Lorengau,-2.02,147.27,85.05,67,7,3.94,PG,06/21/20
Grand-Santi,4.25,-54.38,73.9,96,37,2.73,GF,06/21/20
Manokwari,-0.87,134.08,84.58,64,0,0.74,ID,06/21/20
São João da Barra,-21.64,-41.05,72.09,87,0,12.06,BR,06/21/20
Necochea,-38.55,-58.74,45.0,91,10,3.0,AR,06/21/20
Yerbogachën,61.28,108.01,71.6,52,40,6.17,RU,06/21/20
Hājīganj,23.25,90.86,80.19,88,38,11.43,BD,06/21/20
Tashtyp,52.79,89.9,46.45,91,100,3.78,RU,06/21/20
Karratha,-20.74,116.85,66.24,35,0,14.18,AU,06/21/20
San Patricio,19.22,-104.7,86.0,74,40,4.92,MX,06/21/20
Bellavista,-7.06,-76.59,73.8,87,9,0.78,PE,06/21/20
Tasiilaq,65.61,-37.64,48.2,76,99,5.82,GL,06/21/20
Qinhuangdao,39.93,119.59,77.83,59,88,10.13,CN,06/21/20
Yar-Sale,66.83,70.83,42.4,84,100,13.11,RU,06/21/20
Ukiah,39.15,-123.21,91.4,29,1,9.17,US,06/21/20
Rock Sound,24.9,-76.2,82.51,77,75,7.38,BS,06/21/20
Antofagasta,-23.65,-70.4,57.2,76,75,6.93,CL,06/21/20
Krasnosel'kup,65.7,82.47,50.11,88,91,14.29,RU,06/21/20
High Level,58.52,-117.14,73.4,53,75,10.29,CA,06/21/20
Ongandjera,-17.88,15.07,57.83,35,0,7.0,NA,06/21/20
Araouane,18.9,-3.53,95.95,10,0,4.21,ML,06/21/20
Olafsvik,64.89,-23.71,52.61,78,32,22.68,IS,06/21/20
Bambanglipuro,-7.95,110.28,78.66,84,88,10.02,ID,06/21/20
Klaksvík,62.23,-6.59,50.0,100,87,10.29,FO,06/21/20
Gainesville,29.65,-82.32,88.0,51,1,6.93,US,06/21/20
Tual,-5.67,132.75,79.93,81,8,21.99,ID,06/21/20
Deer Lake,49.17,-57.43,57.2,47,75,10.29,CA,06/21/20
Tatarsk,55.22,75.98,57.29,93,97,8.14,RU,06/21/20
Teya,60.38,92.63,52.48,87,96,1.97,RU,06/21/20
Tsimmerbude,54.67,20.13,62.6,100,93,4.12,RU,06/21/20
Izhma,65.01,53.91,41.4,71,67,6.58,RU,06/21/20
Killam,52.78,-111.85,63.73,66,100,6.67,CA,06/21/20
Wichita Falls,33.91,-98.49,86.0,55,1,16.11,US,06/21/20
Stykkisholmur,65.08,-22.73,54.66,69,19,15.59,IS,06/21/20
Chaumont,48.12,5.13,60.01,86,62,1.99,FR,06/21/20
Baruun-Urt,46.68,113.28,60.66,86,100,14.65,MN,06/21/20
Mandan,46.83,-100.89,73.4,56,75,5.82,US,06/21/20
Iralaya,15.0,-83.23,80.6,88,75,17.27,HN,06/21/20
Batemans Bay,-35.72,150.18,60.01,54,44,3.24,AU,06/21/20
Nabire,-3.37,135.48,83.25,70,22,1.52,ID,06/21/20
Colesberg,-30.72,25.1,40.03,70,0,0.96,ZA,06/21/20
Norman Wells,65.28,-126.83,53.6,93,90,10.29,CA,06/21/20
Nuuk,64.18,-51.72,41.0,86,46,4.7,GL,06/21/20
Klaeng,12.78,101.65,82.49,80,15,2.1,TH,06/21/20
Gazojak,41.19,61.4,83.95,14,48,14.52,TM,06/21/20
Portland,45.52,-122.68,75.99,44,20,5.82,US,06/21/20
Cabo San Lucas,22.89,-109.91,84.2,37,5,6.93,MX,06/21/20
Cidreira,-30.18,-50.21,69.06,79,59,6.93,BR,06/21/20
Nakatsu,33.6,131.19,73.4,83,20,3.36,JP,06/21/20
Longhua,23.61,114.19,84.42,76,94,3.65,CN,06/21/20
Wad Medani,14.4,33.52,88.29,44,36,15.08,SD,06/21/20
Nyrob,60.73,56.72,45.48,78,91,5.57,RU,06/21/20
Moose Factory,51.26,-80.61,57.2,100,90,10.29,CA,06/21/20
Bandar-e Lengeh,26.56,54.88,86.0,89,0,2.75,IR,06/21/20
Hamilton,39.18,-84.53,73.99,83,90,4.7,US,06/21/20
George Town,5.41,100.34,80.6,94,20,2.24,MY,06/21/20
Athabasca,54.72,-113.29,68.99,61,81,2.91,CA,06/21/20
Palmer,42.16,-72.33,86.0,45,75,5.82,US,06/21/20
Połczyn-Zdrój,53.76,16.1,60.01,95,100,7.83,PL,06/21/20
Husavik,66.04,-17.34,55.4,71,75,20.8,IS,06/21/20
Wanning,18.8,110.4,85.01,82,20,12.68,CN,06/21/20
Tazovsky,67.47,78.7,46.9,91,75,14.81,RU,06/21/20
Hong Kong,22.29,114.16,87.01,70,99,11.01,HK,06/21/20
Irtyshskiy,58.33,68.13,42.28,96,3,6.98,RU,06/21/20
Nouadhibou,20.93,-17.03,73.4,73,0,14.99,MR,06/21/20
Tahoua,14.89,5.27,87.8,45,43,9.17,NE,06/21/20
Nidzica,53.36,20.43,63.93,97,100,5.64,PL,06/21/20
Bayir,37.27,28.22,66.2,82,0,1.12,TR,06/21/20
Kemin,42.78,75.69,63.01,39,0,6.29,KG,06/21/20
Japura,-0.32,102.35,75.29,93,69,1.81,ID,06/21/20
Waingapu,-9.66,120.26,79.68,76,44,13.73,ID,06/21/20
Atar,20.52,-13.05,99.01,10,64,12.68,MR,06/21/20
Touros,-5.2,-35.46,73.4,88,40,4.7,BR,06/21/20
Porvoo,60.39,25.67,55.0,100,0,2.24,FI,06/21/20
Otradnoye,59.78,30.82,57.2,71,0,4.47,RU,06/21/20
Bengkulu,-3.8,102.27,76.05,88,97,4.63,ID,06/21/20
La Mira,18.04,-102.33,86.38,59,53,4.99,MX,06/21/20
Biak,-0.91,122.88,79.83,76,71,9.01,ID,06/21/20
Shingū,33.73,135.98,77.0,61,40,3.36,JP,06/21/20
Mil'kovo,54.72,158.62,68.07,49,95,0.89,RU,06/21/20
Nishihara,26.18,127.76,82.4,94,75,4.7,JP,06/21/20
Omsukchan,62.53,155.8,75.65,31,63,5.55,RU,06/21/20
Lebu,-37.62,-73.65,50.56,84,100,14.85,CL,06/21/20
Bouar,5.93,15.6,66.16,95,98,2.46,CF,06/21/20
Langxiang,46.95,128.88,65.37,73,56,3.11,CN,06/21/20
Manta,-0.95,-80.73,75.2,88,75,11.41,EC,06/21/20
Acapulco de Juárez,16.86,-99.89,87.8,70,20,4.7,MX,06/21/20
Westport,41.14,-73.36,78.8,65,1,14.99,US,06/21/20
Muros,42.78,-9.06,60.01,94,14,4.97,ES,06/21/20
Tupik,54.43,119.93,59.65,68,68,3.13,RU,06/21/20
Ulaangom,49.98,92.07,47.84,65,98,13.04,MN,06/21/20
Along,28.17,94.77,74.23,88,55,0.72,IN,06/21/20
Ubari,26.59,12.78,79.9,16,1,12.68,LY,06/21/20
Madimba,-10.4,40.33,76.39,76,94,13.56,TZ,06/21/20
Taquari,-29.8,-51.86,70.0,82,65,1.01,BR,06/21/20
Muskegon Heights,43.2,-86.24,73.4,53,75,4.7,US,06/21/20
Matara,5.95,80.54,80.01,83,100,15.64,LK,06/21/20
Matveyevka,52.15,56.18,50.0,66,23,13.42,RU,06/21/20
Copăcele,45.5,22.1,64.4,100,90,11.41,RO,06/21/20
Chokurdakh,70.63,147.92,76.95,35,0,14.25,RU,06/21/20
Kuito,-12.38,16.93,48.79,51,0,2.37,AO,06/21/20
Soyo,-6.13,12.37,72.32,88,0,4.18,AO,06/21/20
Nicoya,10.15,-85.45,82.4,83,75,5.82,CR,06/21/20
Saldanha,-33.01,17.94,51.8,93,46,1.12,ZA,06/21/20
Chimoré,-16.98,-65.13,75.52,87,85,2.51,BO,06/21/20
Thompson,55.74,-97.86,60.8,82,75,5.82,CA,06/21/20
Tilichiki,60.47,166.1,70.9,46,7,4.41,RU,06/21/20
Puerto Peñasco,31.32,-113.53,86.0,60,0,5.01,MX,06/21/20
Yazykovo,55.22,56.14,40.44,88,3,5.57,RU,06/21/20
Maniitsoq,65.42,-52.9,48.22,59,32,9.66,GL,06/21/20
Arman',59.7,150.17,60.62,63,0,3.94,RU,06/21/20
Clarence Town,-32.58,151.78,57.99,62,20,16.11,AU,06/21/20
Turukhansk,65.82,87.98,58.24,48,41,13.29,RU,06/21/20
Pital,2.27,-75.8,67.89,80,50,4.94,CO,06/21/20
Riyadh,24.69,46.72,82.4,21,0,8.05,SA,06/21/20
Fairbanks,64.84,-147.72,53.6,93,90,14.99,US,06/21/20
Camocim,-2.9,-40.84,77.81,74,4,8.05,BR,06/21/20
Daugai,54.37,24.33,66.2,82,98,5.82,LT,06/21/20
Shubarshi,48.59,57.19,65.53,71,3,8.55,KZ,06/21/20
Lüderitz,-26.65,15.16,50.0,93,0,4.7,NA,06/21/20
Bāfq,31.61,55.41,76.39,16,0,2.8,IR,06/21/20
Demak,-6.89,110.64,80.6,78,20,6.93,ID,06/21/20
Bac Lieu,9.29,105.72,83.08,76,75,4.0,VN,06/21/20
Aasiaat,68.71,-52.87,41.2,69,10,4.38,GL,06/21/20
Pirovskoye,57.63,92.27,52.88,68,11,7.58,RU,06/21/20
Narsaq,60.92,-46.05,53.6,54,100,6.93,GL,06/21/20
Pareora,-44.49,171.21,46.99,83,0,5.01,NZ,06/21/20
Wattegama,6.8,81.48,78.71,72,100,3.06,LK,06/21/20
Makkah al Mukarramah,21.43,39.83,80.8,46,67,2.51,SA,06/21/20
Popondetta,-8.75,148.25,86.22,62,6,1.95,PG,06/21/20
Langenburg,49.25,9.85,64.4,72,26,6.93,DE,06/21/20
Pangody,65.85,74.49,49.08,70,5,10.22,RU,06/21/20
Batagay,67.63,134.63,85.86,25,0,4.88,RU,06/21/20
Tayshet,55.93,98.0,54.63,96,97,5.17,RU,06/21/20
Flin Flon,54.77,-101.86,66.2,55,75,3.36,CA,06/21/20
Seydi,39.48,62.91,86.58,13,61,17.81,TM,06/21/20
